corpus,experiment,condition,class,fold,metric,value
sep28k,deployment_clean_val,opus_16k,Prolongation,0,ece,0.1114147026718393
sep28k,deployment_deg_val,opus_16k,Prolongation,0,ece,0.1114147026718393
sep28k,matched_retraining_fixed,opus_16k,Prolongation,0,ece,0.11852947831767885
sep28k,matched_retraining_val,opus_16k,Prolongation,0,ece,0.11852947831767885
sep28k,majority_vote_fixed,opus_16k,Prolongation,0,ece,0.3407897026718392
sep28k,mlp_head_degraded,opus_16k,Prolongation,0,ece,0.025110753891058272
sep28k,deployment_fixed,opus_16k,Prolongation,0,brier,0.1915013389686289
sep28k,deployment_clean_val,opus_16k,Prolongation,0,brier,0.1915013389686289
sep28k,deployment_deg_val,opus_16k,Prolongation,0,brier,0.1915013389686289
sep28k,matched_retraining_fixed,opus_16k,Prolongation,0,brier,0.19269487858395792
sep28k,matched_retraining_val,opus_16k,Prolongation,0,brier,0.19269487858395792
sep28k,majority_vote_fixed,opus_16k,Prolongation,0,brier,0.2144255185080902
sep28k,mlp_head_degraded,opus_16k,Prolongation,0,brier,0.17507894337177277
sep28k,deployment_fixed,opus_16k,SoundRep,0,f1,0.6270491803278688
sep28k,deployment_clean_val,opus_16k,SoundRep,0,f1,0.6252587991718427
sep28k,deployment_deg_val,opus_16k,SoundRep,0,f1,0.6378802747791953
sep28k,matched_retraining_fixed,opus_16k,SoundRep,0,f1,0.6211812627291242
sep28k,matched_retraining_val,opus_16k,SoundRep,0,f1,0.6274509803921569
sep28k,majority_vote_fixed,opus_16k,SoundRep,0,f1,0.41893830703012913
sep28k,mlp_head_degraded,opus_16k,SoundRep,0,f1,0.583743842364532
sep28k,deployment_fixed,opus_16k,SoundRep,0,precision,0.5795454545454546
sep28k,deployment_clean_val,opus_16k,SoundRep,0,precision,0.583011583011583
sep28k,deployment_deg_val,opus_16k,SoundRep,0,precision,0.5691768826619965
sep28k,matched_retraining_fixed,opus_16k,SoundRep,0,precision,0.5711610486891385
sep28k,matched_retraining_val,opus_16k,SoundRep,0,precision,0.5594405594405595
sep28k,majority_vote_fixed,opus_16k,SoundRep,0,precision,0.2765151515151515
sep28k,mlp_head_degraded,opus_16k,SoundRep,0,precision,0.6510989010989011
sep28k,deployment_fixed,opus_16k,SoundRep,0,recall,0.6830357142857143
sep28k,deployment_clean_val,opus_16k,SoundRep,0,recall,0.6741071428571429
sep28k,deployment_deg_val,opus_16k,SoundRep,0,recall,0.7254464285714286
sep28k,matched_retraining_fixed,opus_16k,SoundRep,0,recall,0.6808035714285714
sep28k,matched_retraining_val,opus_16k,SoundRep,0,recall,0.7142857142857143
sep28k,majority_vote_fixed,opus_16k,SoundRep,0,recall,0.863905325443787
sep28k,mlp_head_degraded,opus_16k,SoundRep,0,recall,0.5290178571428571
sep28k,deployment_fixed,opus_16k,SoundRep,0,auc,0.8225775824652777
sep28k,deployment_clean_val,opus_16k,SoundRep,0,auc,0.8225775824652777
sep28k,deployment_deg_val,opus_16k,SoundRep,0,auc,0.8225775824652777
sep28k,matched_retraining_fixed,opus_16k,SoundRep,0,auc,0.8233603825644842
sep28k,matched_retraining_val,opus_16k,SoundRep,0,auc,0.8233603825644842
sep28k,majority_vote_fixed,opus_16k,SoundRep,0,auc,0.8782330393360872
sep28k,mlp_head_degraded,opus_16k,SoundRep,0,auc,0.8204578218005952
sep28k,deployment_fixed,opus_16k,SoundRep,0,pr_auc,0.657331625343621
sep28k,deployment_clean_val,opus_16k,SoundRep,0,pr_auc,0.657331625343621
sep28k,deployment_deg_val,opus_16k,SoundRep,0,pr_auc,0.657331625343621
sep28k,matched_retraining_fixed,opus_16k,SoundRep,0,pr_auc,0.6589580683662326
sep28k,matched_retraining_val,opus_16k,SoundRep,0,pr_auc,0.6589580683662326
sep28k,majority_vote_fixed,opus_16k,SoundRep,0,pr_auc,0.5090000571016071
sep28k,mlp_head_degraded,opus_16k,SoundRep,0,pr_auc,0.6533328986161179
sep28k,deployment_fixed,opus_16k,SoundRep,0,ece,0.11734604548987627
sep28k,deployment_clean_val,opus_16k,SoundRep,0,ece,0.11734604548987627
sep28k,deployment_deg_val,opus_16k,SoundRep,0,ece,0.11734604548987627
sep28k,matched_retraining_fixed,opus_16k,SoundRep,0,ece,0.11674072343206034
sep28k,matched_retraining_val,opus_16k,SoundRep,0,ece,0.11674072343206034
sep28k,majority_vote_fixed,opus_16k,SoundRep,0,ece,0.29172104548987626
sep28k,mlp_head_degraded,opus_16k,SoundRep,0,ece,0.02361654604086652
sep28k,deployment_fixed,opus_16k,SoundRep,0,brier,0.16166246382802954
sep28k,deployment_clean_val,opus_16k,SoundRep,0,brier,0.16166246382802954
sep28k,deployment_deg_val,opus_16k,SoundRep,0,brier,0.16166246382802954
